source,target,weight
19,18,3
18,27,1
19,27,2
4,25,2
28,24,4
28,30,7
29,28,6
29,30,4
29,24,5
24,30,8
4,8,1
16,8,8
1,16,11
1,8,8
20,9,6
20,27,1
20,31,5
1,25,1
9,31,2
6,31,4
6,7,1
15,21,4
23,15,8
14,30,9
4,15,4
4,23,5
7,28,4
7,30,2
25,26,1
11,25,1
24,14,3
28,14,2
19,24,2
19,28,2
19,14,2
19,30,2
17,19,2
17,18,1
17,16,4
5,21,4
21,23,8
23,5,4
17,23,1
17,25,1
25,23,2
24,13,1
15,22,1
14,15,1
6,13,1
32,8,10
10,5,5
26,19,3
26,2,13
2,19,3
18,2,3
18,26,3
11,5,1
29,11,4
11,22,1
11,28,1
5,29,2
29,22,2
12,14,5
12,30,9
14,30,6
17,20,1
29,14,3
