label,Name,Win.Perct,Years.As.A.Head.Coach,Age
1,Andy Reid,0.64,27,68
2,Pete Carroll,0.563,19,74
3,Jim Harbaugh,0.679,6,62
4,Sean Payton,0.63,18,62
5,Zac Taylor,0.453,7,42
6,Kevin Stefanski,0.446,6,43
7,Mike Tomlin ,0.628,19,54
8,John Harbaugh,0.614,18,63
9,Shane Steichen,0.49,3,40
10,Brian Callahan,0.174,2,41
11,Liam Coen,0.765,1,40
12,DeMeco Ryans,0.627,3,41
13,Mike Vrabel,0.586,7,50
14,Mike McDaniel,0.515,4,43
15,Aaron Glenn,0.176,1,53
16,Sean McDermott,0.662,9,52
17,Brian Daboll,0.336,4,51
18,Brian Schottenheimer ,0.441,1,52
19,Dan Quinn,0.504,8,55
20,Nick Sirianni,0.694,5,44
21,Ben Johnson,0.647,1,39
22,Kevin O'Connell,0.632,4,40
23,Dan Campbell,0.571,5,50
24,Matt LaFleur,0.654,7,46
25,Todd Bowles,0.452,9,62
26,Dave Canales,0.382,2,44
27,Kellen Moore,0.353,1,36
28,Raheem Morris,0.398,6,49
29,Sean McVay,0.617,9,40
30,Kyle Shanahan,0.55,9,46
31,Jonathan Gannon,0.294,3,43
32,Mike MacDonald,0.706,2,38
